ID,Judul,Kategori,Penulis,Tahun Terbit
1,Book_kLfARW,Sains,Marie Curie,1973
2,Book_azmdNx,Komputer,Marie Curie,2021
3,Book_a5cN41,Komputer,Albert Einstein,1965
4,Book_agsSv3,Matematika,Marie Curie,1951
5,Book_DKDsIH,Fiksi,Jane Smith,1973
6,Book_cxIFcj,Sains,Isaac Newton,2002
7,Book_uXWmmy,Matematika,Jane Smith,1985
8,Book_F5yY42,Sains,John Doe,2019
9,Book_VpGfDX,Komputer,John Doe,1955
10,Book_HkCDcJ,Biografi,Jane Smith,1979
11,Book_lMNECb,Sains,Isaac Newton,2006
12,Book_j0m5CT,Teknologi,Ada Lovelace,1958
13,Book_Ut7imD,Matematika,Albert Einstein,1981
14,Book_gaAf7A,Teknologi,John Doe,1987
15,Book_YuhcRA,Biografi,Jane Smith,2013
16,Book_sG9VQY,Matematika,Jane Smith,1980
17,Book_buZT9c,Komputer,Jane Smith,1997
18,Book_bjSA8D,Sains,Albert Einstein,1956
19,Book_qQ1UbH,Biografi,Albert Einstein,1991
20,Book_n1El2V,Sains,Jane Smith,1988
21,Book_RCPPpP,Fiksi,Albert Einstein,1993
22,Book_2a3SVv,Teknologi,Isaac Newton,1960
23,Book_zYqyUA,Matematika,Jane Smith,1957
24,Book_quISHa,Biografi,Ada Lovelace,2011
25,Book_SskkB3,Komputer,Jane Smith,1981
26,Book_tLHn1W,Biografi,Jane Smith,1972
27,Book_cq8JnD,Teknologi,Marie Curie,1989
28,Book_bl03nm,Teknologi,Albert Einstein,2006
29,Book_MqC8PK,Teknologi,John Doe,1995
30,Book_dTNzGN,Fiksi,Marie Curie,1974
31,Book_opWoIq,Matematika,John Doe,2003
32,Book_G91B6A,Fiksi,Isaac Newton,2005
33,Book_tzad68,Sejarah,Marie Curie,1981
34,Book_3jztOX,Matematika,Jane Smith,1992
35,Book_fRaqUF,Biografi,Isaac Newton,1952
36,Book_sj5Bkg,Matematika,Albert Einstein,2010
37,Book_ElnYPm,Biografi,Jane Smith,2009
38,Book_aFxXCN,Fiksi,Jane Smith,1989
39,Book_lrUmZG,Komputer,Marie Curie,1986
40,Book_NQiITj,Matematika,Jane Smith,1965
41,Book_oc4sw6,Komputer,Ada Lovelace,1962
